participant_id,eligible_18_plus,consent_confirmed_at,pilot_started_at,withdrawn_at,sprint_created_at,first_useful_move_at,day2_return_at,day2_move_completed_at,day6_proof_lab_reached_at,proof_lab_status,export_completed_at,export_mode,share_completed_at,blocker_code,trust_comprehension,critical_incident
P01,,,,,,,,,,,,,,,,
P02,,,,,,,,,,,,,,,,
P03,,,,,,,,,,,,,,,,
P04,,,,,,,,,,,,,,,,
P05,,,,,,,,,,,,,,,,
P06,,,,,,,,,,,,,,,,
P07,,,,,,,,,,,,,,,,
P08,,,,,,,,,,,,,,,,
P09,,,,,,,,,,,,,,,,
P10,,,,,,,,,,,,,,,,
P11,,,,,,,,,,,,,,,,
P12,,,,,,,,,,,,,,,,
